case_id,family_id,expected_quality,challenge_type,score,grade,hard_failure_count,repeat_stddev,claim_count,reference_count,traceability_ratio,valid_reference_ratio,exact_quote_ratio
repo-11-medium,repo-11,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-11-bad,repo-11,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
repo-12-good,repo-12,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
repo-12-medium,repo-12,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-12-bad,repo-12,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
repo-13-good,repo-13,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
repo-13-medium,repo-13,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-13-bad,repo-13,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
repo-14-good,repo-14,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
repo-14-medium,repo-14,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-14-bad,repo-14,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
repo-15-good,repo-15,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
repo-15-medium,repo-15,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-15-bad,repo-15,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
repo-16-good,repo-16,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
repo-16-medium,repo-16,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-16-bad,repo-16,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
repo-17-good,repo-17,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
repo-17-medium,repo-17,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-17-bad,repo-17,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
repo-18-good,repo-18,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
repo-18-medium,repo-18,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-18-bad,repo-18,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
repo-19-good,repo-19,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
repo-19-medium,repo-19,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-19-bad,repo-19,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
repo-20-good,repo-20,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
repo-20-medium,repo-20,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-20-bad,repo-20,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
repo-21-good,repo-21,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
repo-21-medium,repo-21,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-21-bad,repo-21,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
repo-22-good,repo-22,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
repo-22-medium,repo-22,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-22-bad,repo-22,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
repo-23-good,repo-23,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
repo-23-medium,repo-23,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-23-bad,repo-23,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
adversarial-00,repo-00,bad,fabricated_reference,18.5,D,2,0.0,2,1,0.5,0.0,0.0
adversarial-01,repo-01,bad,quote_mismatch,41.5,D,1,0.0,2,1,0.5,1.0,0.0
adversarial-02,repo-02,bad,fabricated_reference,18.5,D,2,0.0,2,1,0.5,0.0,0.0
adversarial-03,repo-03,bad,quote_mismatch,41.5,D,1,0.0,2,1,0.5,1.0,0.0
adversarial-04,repo-04,bad,fabricated_reference,18.5,D,2,0.0,2,1,0.5,0.0,0.0
adversarial-05,repo-05,bad,quote_mismatch,41.5,D,1,0.0,2,1,0.5,1.0,0.0
adversarial-06,repo-06,bad,fabricated_reference,18.5,D,2,0.0,2,1,0.5,0.0,0.0
adversarial-07,repo-07,bad,quote_mismatch,41.5,D,1,0.0,2,1,0.5,1.0,0.0
adversarial-08,repo-08,bad,fabricated_reference,18.5,D,2,0.0,2,1,0.5,0.0,0.0
adversarial-09,repo-09,bad,quote_mismatch,41.5,D,1,0.0,2,1,0.5,1.0,0.0
adversarial-10,repo-10,bad,fabricated_reference,18.5,D,2,0.0,2,1,0.5,0.0,0.0
adversarial-11,repo-11,bad,quote_mismatch,41.5,D,1,0.0,2,1,0.5,1.0,0.0
